Day;Hour;Wave;Acc Mag ;Moving Avg Acc MAG(3);Moving Avg Acc MAG(4);Moving Avg Acc MAG(5);Moving Avg Acc MAG(6)
23/10/2024; 18:48:28;0;1,007757;1,044255;0,996403;1,018431;1,020048
23/10/2024; 18:48:28;0;1,067415;1,043326;1,050045;1,010605;1,026595
23/10/2024; 18:48:28;0;1,067415;1,043326;1,050045;1,010605;1,026595
23/10/2024; 18:48:28;0;1,027677;1,034283;1,039413;1,045571;1,013451
23/10/2024; 18:48:28;0;1,077574;1,057555;1,045106;1,047045;1,050905
23/10/2024; 18:48:28;0;1,081656;1,062302;1,063581;1,052416;1,052814
23/10/2024; 18:48:29;0;1,116137;1,091789;1,075761;1,074092;1,063036
23/10/2024; 18:48:29;0;0,951011;1,049601;1,056594;1,050811;1,053578
23/10/2024; 18:48:29;0;0,951011;1,049601;1,056594;1,050811;1,053578
23/10/2024; 18:48:29;0;0,963494;1,010214;1,028075;1,037974;1,036258
23/10/2024; 18:48:29;0;0,963494;1,010214;1,028075;1,037974;1,036258
23/10/2024; 18:48:29;0;0,979485;0,964663;1,002532;1,018357;1,028226
23/10/2024; 18:48:29;0;1,068402;1,003794;0,990598;1,015706;1,026698
23/10/2024; 18:48:29;0;0,978326;1,008738;0,997427;0,988143;1,009476
23/10/2024; 18:48:29;0;1,139659;1,062129;1,041468;1,025873;1,013396
23/10/2024; 18:48:29;0;1,048843;1,055609;1,058807;1,042943;1,029701
23/10/2024; 18:48:29;0;0,98983;1,059444;1,039164;1,045012;1,034091
23/10/2024; 18:48:30;0;0,98983;1,059444;1,039164;1,045012;1,034091
23/10/2024; 18:48:30;0;1,015352;1,018008;1,048421;1,034402;1,040069
23/10/2024; 18:48:30;0;1,015352;1,018008;1,048421;1,034402;1,040069
23/10/2024; 18:48:30;0;1,037726;1,014303;1,022938;1,046282;1,034956
23/10/2024; 18:48:30;0;1,117685;1,056921;1,040148;1,041887;1,058182
23/10/2024; 18:48:30;0;1,117685;1,056921;1,040148;1,041887;1,058182
23/10/2024; 18:48:30;0;1,0178;1,057737;1,047141;1,035679;1,037873
23/10/2024; 18:48:30;0;1,06854;1,068008;1,060438;1,051421;1,041155
23/10/2024; 18:48:30;0;1,075975;1,054105;1,07;1,063545;1,055513
23/10/2024; 18:48:30;0;0,913483;1,019333;1,01895;1,038697;1,038535
23/10/2024; 18:48:30;0;0,913483;1,019333;1,01895;1,038697;1,038535
23/10/2024; 18:48:30;0;1,136542;1,042;1,048635;1,042468;1,055004
23/10/2024; 18:48:30;0;1,136542;1,042;1,048635;1,042468;1,055004
23/10/2024; 18:48:30;0;0,987741;1,012589;1,028435;1,036456;1,033347
23/10/2024; 18:48:30;0;0,987741;1,012589;1,028435;1,036456;1,033347
23/10/2024; 18:48:30;0;1,083924;1,069402;1,030422;1,039533;1,044367
23/10/2024; 18:48:31;0;1,083924;1,069402;1,030422;1,039533;1,044367
23/10/2024; 18:48:31;0;1,101881;1,057849;1,077522;1,044714;1,049924
23/10/2024; 18:48:31;0;0,966623;1,050809;1,035042;1,055342;1,031699
23/10/2024; 18:48:31;0;0,933469;1,000658;1,021474;1,014728;1,03503
23/10/2024; 18:48:31;0;1,021932;0,974008;1,005976;1,021566;1,015928
23/10/2024; 18:48:31;0;1,021932;0,974008;1,005976;1,021566;1,015928
23/10/2024; 18:48:31;0;1,021932;0,974008;1,005976;1,021566;1,015928
23/10/2024; 18:48:31;0;1,133211;1,029538;1,013809;1,031423;1,040173
23/10/2024; 18:48:31;0;1,133211;1,029538;1,013809;1,031423;1,040173
23/10/2024; 18:48:31;0;1,05337;1,069505;1,035496;1,021721;1,035081
23/10/2024; 18:48:31;0;1,05337;1,069505;1,035496;1,021721;1,035081
23/10/2024; 18:48:31;0;1,053119;1,0799;1,065408;1,03902;1,026954
23/10/2024; 18:48:31;0;1,053119;1,0799;1,065408;1,03902;1,026954
23/10/2024; 18:48:31;0;0,977718;1,028069;1,054355;1,04787;1,028803
23/10/2024; 18:48:31;0;0,938519;0,989785;1,005682;1,031187;1,029645
23/10/2024; 18:48:32;0;0,938519;0,989785;1,005682;1,031187;1,029645
23/10/2024; 18:48:32;0;1,078148;0,998128;1,011876;1,020175;1,039014
23/10/2024; 18:48:32;0;1,076162;1,030943;1,017637;1,024733;1,029506
23/10/2024; 18:48:32;0;1,076162;1,030943;1,017637;1,024733;1,029506
23/10/2024; 18:48:32;0;1,129851;1,09472;1,05567;1,04008;1,042253
23/10/2024; 18:48:32;0;1,129851;1,09472;1,05567;1,04008;1,042253
23/10/2024; 18:48:32;0;1,129851;1,09472;1,05567;1,04008;1,042253
23/10/2024; 18:48:32;0;0,960024;1,055346;1,061046;1,036541;1,026737
23/10/2024; 18:48:32;0;0,960024;1,055346;1,061046;1,036541;1,026737
23/10/2024; 18:48:32;0;1,010148;1,033341;1,044046;1,050867;1,032142
23/10/2024; 18:48:32;0;1,010148;1,033341;1,044046;1,050867;1,032142
23/10/2024; 18:48:32;0;1,056468;1,00888;1,039123;1,046531;1,0518
23/10/2024; 18:48:32;0;0,987405;1,018007;1,003511;1,028779;1,036677
23/10/2024; 18:48:32;0;0,987405;1,018007;1,003511;1,028779;1,036677
23/10/2024; 18:48:32;0;1,06978;1,037884;1,03095;1,016765;1,035613
23/10/2024; 18:48:32;0;1,06978;1,037884;1,03095;1,016765;1,035613
23/10/2024; 18:48:32;0;1,06978;1,037884;1,03095;1,016765;1,035613
23/10/2024; 18:48:32;0;1,0193;1,025495;1,033238;1,02862;1,017187
23/10/2024; 18:48:33;0;1,0193;1,025495;1,033238;1,02862;1,017187
23/10/2024; 18:48:33;0;1,013992;1,034357;1,022619;1,029389;1,026182
23/10/2024; 18:48:33;0;1,013992;1,034357;1,022619;1,029389;1,026182
23/10/2024; 18:48:33;0;1,082547;1,038613;1,046405;1,034605;1,038249
23/10/2024; 18:48:33;0;1,082547;1,038613;1,046405;1,034605;1,038249
23/10/2024; 18:48:33;0;1,002342;1,03296;1,029545;1,037592;1,029228
23/10/2024; 18:48:33;0;1,030916;1,038602;1,032449;1,029819;1,036479
23/10/2024; 18:48:33;0;1,120277;1,051178;1,059021;1,050015;1,044896
23/10/2024; 18:48:33;0;1,120277;1,051178;1,059021;1,050015;1,044896
23/10/2024; 18:48:33;0;0,998923;1,050039;1,038115;1,047001;1,041499
23/10/2024; 18:48:33;0;0,998923;1,050039;1,038115;1,047001;1,041499
