Day;Hour;Heading;Pitch;Roll;Cutback;Wave
20/10/2024; 17:59:14;292.107117;-9.850577;-2.089515;0;0
20/10/2024; 17:59:15;267.747528;-4.835882;-0.277282;0;0
20/10/2024; 17:59:17;258.604340;-2.953629;-0.302971;0;0
20/10/2024; 17:59:18;269.040222;-6.512106;-1.091992;0;0
20/10/2024; 17:59:20;357.334839;11.247197;-1.033305;0;0
20/10/2024; 17:59:22;64.844589;-6.315921;-2.372823;0;0
20/10/2024; 17:59:23;75.758736;0.076343;0.949185;0;0
20/10/2024; 17:59:25;67.169563;1.934293;-1.188970;0;0
20/10/2024; 17:59:26;70.383759;3.149500;-1.757477;0;0
20/10/2024; 17:59:28;65.807327;1.758639;-1.792762;0;0
20/10/2024; 17:59:29;64.422028;2.397854;-3.057754;0;0
20/10/2024; 17:59:31;68.108925;-4.596416;4.078851;0;0
20/10/2024; 17:59:33;65.943565;4.864653;-0.347684;0;0
20/10/2024; 17:59:34;76.206360;5.331528;-6.802644;0;0
20/10/2024; 17:59:36;107.463539;-14.480018;1.086327;0;0
20/10/2024; 17:59:37;119.656105;-4.214541;-2.026991;0;0
20/10/2024; 17:59:39;125.089249;-3.208959;-1.513633;0;0
20/10/2024; 17:59:40;127.190933;-2.848273;-1.245315;0;0
20/10/2024; 17:59:42;127.940262;-2.678395;-1.112165;0;0
20/10/2024; 17:59:43;110.077019;-1.502722;-0.315019;0;0
